word,total_count,high_emotion_count,high_emotion_ratio,avg_intensity,intensity_lift,dominant_emotion,dominant_emotion_score,negative_ratio,emo_anger,emo_fear,emo_joy,emo_sadness,emo_disgust,emo_surprise,emo_trust,emo_anticipation,trigger_score
ukraine,228,104,0.45614035087719296,0.6885964912280702,0.19679380064511054,anticipation,56,0.7524752475247525,0.21929824561403508,0.06578947368421052,0.06578947368421052,0.03508771929824561,0.013157894736842105,0.0,0.043859649122807015,0.24561403508771928,42.53244840663618
russia,207,69,0.3333333333333333,0.5120772946859904,0.020274604103030724,anger,48,0.8055555555555556,0.2318840579710145,0.014492753623188406,0.028985507246376812,0.024154589371980676,0.00966183574879227,0.0,0.03864734299516908,0.1642512077294686,37.67643756794355
thought,224,84,0.375,0.6517857142857143,0.15998302370275463,anticipation,43,0.3854166666666667,0.08482142857142858,0.013392857142857142,0.13839285714285715,0.026785714285714284,0.04017857142857143,0.03125,0.125,0.19196428571428573,27.954735107079127
would,1028,383,0.372568093385214,0.566147859922179,0.07434516933921931,anticipation,134,0.4503464203233256,0.10797665369649806,0.04474708171206226,0.11964980544747082,0.016536964980544747,0.020428015564202335,0.014591439688715954,0.11186770428015565,0.1303501945525292,29.060097208453655
little,355,140,0.39436619718309857,0.6084507042253521,0.11664801364239241,anticipation,103,0.3047619047619048,0.04788732394366197,0.022535211267605635,0.11267605633802817,0.005633802816901409,0.014084507042253521,0.022535211267605635,0.09295774647887324,0.29014084507042254,25.93262185948744
bit,184,66,0.358695652173913,0.5489130434782609,0.0571103528953012,anticipation,56,0.325,0.03804347826086957,0.021739130434782608,0.08152173913043478,0.0,0.010869565217391304,0.02717391304347826,0.06521739130434782,0.30434782608695654,24.594822808472713
easier,29,8,0.27586206896551724,0.3103448275862069,-0.18145786299675276,anticipation,4,0.6,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.13793103448275862,27.455365165562696
that,7710,3504,0.4544747081712062,0.7553826199740596,0.2635799293911,anticipation,1985,0.3658469945355191,0.07911802853437094,0.05525291828793774,0.15019455252918287,0.017639429312581063,0.02166018158236057,0.023216601815823606,0.15084306095979247,0.25745784695201035,31.448174231939376
turned,63,17,0.2698412698412698,0.47619047619047616,-0.015612214392483503,joy,7,0.625,0.09523809523809523,0.09523809523809523,0.1111111111111111,0.0,0.047619047619047616,0.015873015873015872,0.031746031746031744,0.07936507936507936,29.407787172165264
out,961,422,0.43912591050988553,0.7159209157127991,0.22411822512983948,anticipation,259,0.39759036144578314,0.053069719042663895,0.0967741935483871,0.11758584807492195,0.004162330905306972,0.01768990634755463,0.014568158168574402,0.1425598335067638,0.2695109261186264,31.443112083362294
