entity_key,entity_name,entity_type,speech_count,avg_sentiment,std_sentiment,min_sentiment,max_sentiment,sentiment_range,volatility,avg_anger,avg_fear,avg_joy,avg_sadness,avg_surprise,avg_disgust,avg_trust,avg_anticipation,dominant_emotion,dominant_emotion_score,avg_anaphora_total,avg_contrast_markers,avg_repetition_density,avg_alliteration_count,avg_superlative_count,avg_question_count,avg_exclamation_count,rhetorical_intensity
GPE:United States,United States,GPE,15,0.9995266666666667,0.0014063980786233976,0.9943,1.0,0.005700000000000038,0.0014063980786233976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,9.4,88.8,0.3583383151641821,509.26666666666665,28.533333333333335,52.8,0.0,98.45119118788058
GPE:Moscow,Moscow,GPE,4,0.999925,4.330127018921716e-05,0.9999,1.0,9.999999999998899e-05,4.330127018921716e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,9.0,76.5,0.7431581316876658,357.0,21.25,54.5,2.0,74.42759401881253
GPE:United State,United State,GPE,1,0.9999,0.0,0.9999,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,6.0,70.0,0.5953266855186784,370.0,13.0,67.0,0.0,75.22790381221695
GPE:the European Union,the European Union,GPE,5,0.9999800000000001,3.999999999999559e-05,0.9999,1.0,9.999999999998899e-05,3.999999999999559e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,12.0,140.4,0.37108999702510137,787.0,40.2,80.4,0.0,151.4815842852893
GPE:The United States,The United States,GPE,6,0.9999166666666667,6.87184270936201e-05,0.9998,1.0,0.00019999999999997797,6.87184270936201e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,10.5,77.33333333333333,0.5847053401900727,383.8333333333333,22.0,54.166666666666664,1.3333333333333333,78.53591028669382
GPE:Rwanda,Rwanda,GPE,14,0.9972428571428571,0.009581284903819702,0.9627,1.0,0.0373,0.009581284903819702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,10.785714285714286,101.07142857142857,0.3463283090906971,542.2142857142857,27.642857142857142,58.214285714285715,0.5714285714285714,105.8351897584415
GPE:Congo,Congo,GPE,15,0.9974533333333333,0.009288406154388864,0.9627,1.0,0.0373,0.009288406154388864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,10.333333333333334,98.53333333333333,0.3776527749035896,533.6666666666666,26.133333333333333,58.06666666666667,0.5333333333333333,103.94918849165289
GPE:Thailand,Thailand,GPE,4,0.99985,0.00020615528128086033,0.9995,1.0,0.0004999999999999449,0.00020615528128086033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,15.0,129.0,0.30966581324141057,815.25,39.25,71.0,0.0,152.82995225903446
GPE:USA,USA,GPE,7,0.9999714285714286,4.5175395145257586e-05,0.9999,1.0,9.999999999998899e-05,4.5175395145257586e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,6.428571428571429,83.0,0.4518050325474949,432.7142857142857,20.857142857142858,67.85714285714286,0.0,87.32984969852721
GPE:Iran,Iran,GPE,31,0.9996645161290323,0.0010415708939670045,0.9943,1.0,0.005700000000000038,0.0010415708939670045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,7.774193548387097,83.25806451612904,0.3903252115051575,447.0,24.06451612903226,51.45161290322581,0.2903225806451613,87.74700498413209
